FORM NUM,LABEL,JAPANESE,ENGLISH (HUMAN),ENGLISH (MACHINE),GERMAN,ROMANIAN
Form1,Form1,ビジュアルウインドウ,Game window,,Spielfenster,Fereastr? joc
Form2,Command2,閉じる,Close,,Schließen,�nchide
Form2,Command1,閉じる,Close,,Schließen,�nchide
Form2,Label3,バージョン情報,About,,Über,Despre
Form3,Form3,新しいゲーム,New Game,,Neues Spiel,Joc Nou
Form3,Command2,決定,Select,,Auswählen,Selecteaz?
Form3,Command1,やめる,Cancel,,Abbrechen,Anuleaz?
Form3,Label3,新しいゲームを始めま,Start New Game,,Neues Spiel starten,�ncepe Joc Nou
Form3,Label2,本屋の名前,Bookstore name,,Buchhandlungsname,Nume libr?rie
Form4,Form4,本屋情報,Bookstore info,,Buchhandlung-Info,Info libr?rie
Form4,Label1,客の来た数,Number of Customers,,Anzahl der Kunden,Num?r de Clien?i
Form4,Label2,0人,0 People,,0 Menschen,0 Persoane
Form4,Label1,よごれ,Filth,,Schmutz,Murd?rie
Form4,Label1,耐震度,Seismic Resistance ,,seismischer Widerstand,Rezisten?? Seismic?
Form4,Label1,資金,Money,,Geld,Bani
Form4,Label1,売った本の数,Number of Books Sold,,Anzahl der verk. Bücher,Num?rul de C?r?i V�ndute
Form4,Label2,0冊,0 Books,,0 Bücher,0 C?r?i
Form4,Label2,0冊,0 Books,,0 Bücher,0 C?r?i
Form4,Label1,最大書籍数,Maximum Book Count,,max. Bücheranzahl,Num?rul Maxim de C?r?i
Form4,Label1,現在書籍数,Current Book Count,,Momentane Bücheranzahl,Num?r Curent de C?r?i
Form4,Label2,0冊,0 Books,,0 Bücher,0 C?r?i
Form4,Label1,年,Year,,Jahr,An
Form4,Label1,月,Month,,Monat,Lun?
Form4,Label1,日,Day,,Tag,Zi
Form4,Label2,日曜日,Sunday,,Sonntag,Duminic?
Form4,Label1,時,Hour,,Stunde,Or?
Form4,Label1,星の数,Number of Stars,,Anzahl der Sterne,Num?r de Stele
Form4,Label1,本屋の名前,Bookstore Name,,Buchhandlungsname,Nume Libr?rie
Form5,Form5,備品設置,Fixtures,,Möbel,Mobil?
Form5,Command2,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form5,Command1,設置,Installation,,Einbau,Instalare
Form5,Label1,収録書籍,Recording books,,Audiobücher,�nregistare c?r?i
Form5,Label2,価格,Price,,Preis,Pre?
Form5,Label3,備品設置,Equipment Installation,,Equipment-Einbau,Instalare Echipament
Form5,Label,10000000円,Yen,,Yen,Yen
Form6,Form6,入荷雑誌選択,Magazine Selection in Stock,,Magazinauswahl auf Lager,Selec?ie de Reviste �n Stoc
Form6,Command3,雑誌TOP10,Top 10 Magazines,,Top 10 Magazine,Top 10 Reviste
Form6,Frame1,すべて売れたとき,When all items are sold,,Wenn alle Items verkauft sind,C�nd toate produsele sunt v�ndute
Form6,Label5,利益,Profit,,Profit,Profit
Form6,Label6,0円,Yen,,Yen,Yen
Form6,Label5,売り値,Selling Price,,Verkaufspreis,Pre? de V�nzare
Form6,Label5,仕入値,Purchase Price,,Kaufpreis,Pre? de Cump?rare
Form6,Command2,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form6,Label5,すべての雑誌の入荷数を変更,"Change quantity of all recently-arrived 
magazines",,Ändere die Menge aller kürzlich bestellten Magazine,Schimb? cantitatea la toate revistele ajunse recent
Form6,Label5,在庫数,Available Inventory,,Verfügbarer Inventarplatz,Inventar Disponibil
Form6,Label5,資金,Funding,,Finanzierung,Finan?are
Form6,Label5,発行部数,Number of Printed Copies,,Anzahl der gedruckten Kopien,Num?r de Copii Printate
Form6,Label5,入荷数,Arrival count,,Ankunftszahl,Num?rul de sosiri
Form6,Label5,メモ,Memo,,Memo,Memo
Form6,Label5,発売日,Release Date,,Erscheinungsdatum,Data lans?rii
Form6,Label5,雑誌名,Book Title,,Buchtitel,Titlul C?r?ii
Form6,Label10,0万,0k,,0k,0k
Form6,Label10,10万,100k,,100k,100k
Form6,Label10,0部,0 Copies,,Keine Kopien,0 Copii
Form6,Label10,20万,200k,,200k,200k
Form6,Label6,0冊,0 Books,,0 Bücher,0 C?r?i
Form6,Label2,メモ,Memo,,Memo,Memo
Form6,Label2,発売日,Release Date,,Erscheinungsdatum,Data lans?rii
Form6,Label10,仕入値,Purchase Price,,Kaufpreis,Pre? de Cump?rare
Form6,Label12,売り値,Selling Price,,Verkaufspreis,Pre? de V�nzare
Form6,Label12,入荷数,Number of Arrivals,,Anzahl der Ankünfte,Num?rul de sosiri
Form6,Label12,雑誌名,Magazine Name,,Magazin-Name,Numele Revistei
Form7,Form7,店員雇用,Employee Info,,Mitarbeiter-Info,Info Angaja?i
Form7,Command2,雇用,Hire,,Einstellen,Angajeaz?
Form7,Command1 ,閉じる,Close,,Schließen,�nchide
Form7,Label,0歳,0 Years Old,,0 Jahre alt,0 Ani Vechime
Form7,Label1,年齢,Age,,Alter,V�rst?
Form7,Label1,0円,0 Yen,,0 Yen,0 Yen
Form7,Label1,給料,Salary,,Gehalt,Salariu
Form7,Label1,能力,Skill level,,Fähigkeitslevel,Nivel de pricepere
Form7,Label1,あああ,AAA,,AAA,AAA
Form7,Label3,店員を雇用します,Now hiring store clerks,,Wir stellen jetzt Ladenverkäufer ein,Acum angajeaz? casieri
Form7,Label1,名前,Name,,Name,Nume
Form8,Form8,お客さん,Guest,,Gast,Oaspete
Form8,Label5,強盗,Thief,,Dieb,Ho?
Form8,Label1,名前,Name,,Name,Nume
Form8,Label,謎,Mystery,,Geheimnis,Mister
Form8,Label1,年齢,Age,,Alter,V�rst?
Form8,Label,??歳,?? years old,,?? Jahre alt,?? ani
Form8,Label,強盗です！,Robbery!,,Raub!,Jaf!
Form8,Label1,気力,Effort,,Aufwand,Efort
Form8,Label1,能力,Skill level,,Fähigkeitslevel,Nivel de pricepere
Form8,Label4,店員の情報,Employee Info,,Mitarbeiter-Info,Info Angaja?i
Form8,Label1,給料,Salary,,Gehalt,Salariu
Form8,Label1,年齢,Age,,Alter,V�rst?
Form8,Label1,名前,Name,,Name,Nume
Form8,Label2,掃除業者の情報,Janitor Info,,Hausmeister-Info,Info �ngrijitor
Form8,Label1,年齢,Age,,Alter,V�rst?
Form8,Label1,名前,Name,,Name,Nume
Form8,Label3, お客さんの情報,Customer Info,,Kunden-Info,Info Client
Form8,Label1,名前,Name,,Name,Nume
Form8,Label1,年齢,Age,,Alter,V�rst?
Form8,Label1,好きな本,Favorite book,,Lieblingsbuch,Carte preferat?
Form8,Label1,満足度,Satisfaction level,,Zufriedenheit,Nivel de satisfacere
Form8,Label1,お店に来た回数,# of visits,,# von Besuchen,# de vizite
Form9,Form9,レジ選択,Register Selection,,Registerauswahl,Selectare Registru
Form9,Command2,購入,Purchase,,Kauf,Achizi?ionare
Form9,Command1,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form9,Label1,レジ速度,Cashier speed,,Kassiergeschwindigkeit,Vitez? casier
Form9,Label1,価格,Price,,Preis,Pre?
Form9,Label3,レジを選択します ,Choose cashier,,Wähle den Kassierer aus,Alege casier
Form10,Form10,お客さんの意見,Customer Opinion,,Kundenmeinung,Opinia Clientului
Form10,Command1,閉じる,Close,,Schließen,�nchide
Form12,Form12,店員解雇,Employee Dismissal,,Kündigung von Mitarbeitern,Concedierea Angajatului
Form12,Command2,解雇する,Dismiss employee,,Mitarbeiter kündigen,Concediaz? Angajatul
Form12,Command1,やめる,Quit,,Beenden,P?r?se?te
Form12,Label1,気力,Willpower,,Willenskraft,Voin??
Form12,Label1,名前,Name,,Name,Nume
Form12,Label,12歳,12 years old,,12 Jahre alt,12 ani
Form12,Label1,年齢,Age,,Alter,V�rst?
Form12,Label1,能力,Ability,,Fähigkeit,Abilitate
Form12,Label1,給料,Salary,,Gehalt,Salariu
Form12,Label1,21万0000円,210k Yen,,210k Yen,210k Yen
Form12,Label3,店員解雇,Fired Employees,,Gefeuerte Mitarbeiter,Angaja?i Concedia?i
Form13,Form13,店員情報,Employee Info,,Mitarbeiter-Info,Info Angajat
Form13,Label1,給料,Salary,,Gehalt,Salariu
Form13,Label1,能力,Ability,,Fähigkeit,Abilitate
Form13,Label1,気力,Energy,,Energie,Energie
Form13,Label1,年齢,Age,,Alter,V�rst?
Form13,Label1,名前,Name,,Name,Nume
Form14,Form14,お店の月々利益表,Monthly Profit,,Monatlicher Profit,Profit Lunar
Form14,Option3,毎年,Per year,,Jährlich,Pe an
Form14,Option2,毎月,Per month,,Monatlich,Pe lun?
Form14,Option1,毎日,Per day,,Täglich,Pe zi
Form14,Label1,テナント代,Tenant fee,,Mietergebühr,Onorariu chiria?
Form14,Label1,サービス系,Service System,,Servicesystem,Sistem de Serviciu
Form14,Label1,保険関係,Insurance,,Versicherung,Asigurare
Form14,Label1,店員の給料,Employee's Salary,,Mitarbeitergehalt,Salariul Angajatului
Form14,Label1,お店の備品,Store's Fixtures,,Laden-Möbel,Mobila Libr?riei
Form14,Label1,雑誌と書籍,Magazines and Books,,Magazine und Bücher,Reviste ?i C?r?i
Form14,Label1,その他,The rest,,Andere,Restul
Form14,Label1,合計,Total,,Insgesamt,Total
Form14,Label1,合計,Total,,Insgesamt,Total
Form14,Label1,支出,Expenses,,Ausgaben,Cheltuieli
Form14,Label1,収入,Income,,Einkommen,Venit
Form15,Form15,月末です,End of the month,,Ende des Monats,Sf�r?itul lunii
Form15,Label1,収入,Income,,Einkommen,Venit
Form15,Label1,支出,Expenses,,Ausgaben,Cheltuieli
Form15,Label1,合計,Total,,Insgesamt,Total
Form15,Label1,合計,Total,,Insgesamt,Total
Form15,Label1,その他,Other,,Andere,Alta
Form15,Label1,雑誌と書籍,Magazines and Books,,Magazine und Bücher,Reviste ?i C?r?i
Form15,Label1,お店の備品,Store's Fixtures,,Laden-Möbel,Mobila Libr?riei
Form15,Label1,店員の給料,Employee's Salary,,Mitarbeitergehalt,Salariul Angajatului
Form15,Label1,保険関係,Insurance,,Versicherung,Asigurare
Form15,Label1,サービス系,Service System,,Servicesystem,Sistem de Serviciu
Form15,Label1,テナント代,Tenant fee,,Mietergebühr,Onorariu chiria?
Form15,Command1,閉じる,Close,,Schließen,�nchide
Form15,Label1,1997年8月末,End of August 1997,,Ende August 1997,Sf�r?itul lui August 1977
Form15,Font,ＭＳ Ｐゴシック,MS PGothic,,MS PGothic,MS Pgothic
Form15,Label1,今月の利益,Monthly Profit,,Monatlicher Profit,Profit Lunar
